,Title,Abstract,Journal,Language,Year,Month,Completion Date,Edit Date,Authors,First Author Affiliation,url,ImpactFactor
25,NS7a of SADS-CoV promotes viral infection via inducing apoptosis to suppress type III interferon production.,"Swine acute diarrhea syndrome coronavirus (SADS-CoV) is a newly discovered swine coronavirus with potential cross-species transmission risk. Although SADS-CoV-induced host cell apoptosis and innate immunity antagonization has been revealed, underlying signaling pathways remain obscure. Here, we demonstrated that infection of SADS-CoV induced apoptosis <i>in vivo</i> and <i>in vitro</i>, and that viral protein NS7a is mainly responsible for SADS-CoV-induced apoptosis in host cells. Furthermore, we found that NS7a interacted with apoptosis-inducing factor mitochondria associated 1 (AIFM1) to activate caspase-3 via caspase-6 in SADS-CoV-infected cells, and enhanced SADS-CoV replication. Importantly, NS7a suppressed poly(I:C)-induced expression of type III interferon (IFN-λ) via activating caspase-3 to cleave interferon regulatory factor 3 (IRF3), and caspase-3 inhibitor protects piglets against SADS-CoV infection <i>in vivo</i>. These findings reveal how SADS-CoV induced apoptosis to inhibit innate immunity and provide a valuable clue to the development of effective drugs for the clinical control of SADS-CoV infection.IMPORTANCEOver the last 20 years, multiple animal-originated coronaviruses, including severe acute respiratory syndrome coronavirus (SARS-CoV), middle east respiratory syndrome coronavirus (MERS-CoV), and SARS-CoV-2, have caused millions of deaths, seriously jeopardized human health, and hindered social development, indicating that the study of animal-originated coronaviruses with potential for cross-species transmission is particularly important. Bat-originated swine acute diarrhea syndrome coronavirus (SADS-CoV), discovered in 2017, can not only cause fatal diarrhea in piglets, but also infect multiple human cells, with a potential risk of cross-species transmission, but its pathogenesis is unclear. In this study, we demonstrated that NS7a of SADS-CoV suppresses IFN-λ production via apoptosis-inducing factor mitochondria associated 1 (AIFM1)-caspase-6-caspase-3-interferon regulatory factor 3 (IRF3) pathway, and caspase-3 inhibitor (Z-DEVD-FMK) can effectively inhibit SADS-CoV replication and protect infected piglets. Our findings in this study contribute to a better understanding of SADS-CoV-host interactions as a part of the coronaviruses pathogenesis and using apoptosis-inhibitor as a drug as potential therapeutic approaches for prevention and control of SADS-CoV infection.",Journal Of Virology,eng,2024,May,2024-05-14,2024-05-16,"Xiaowei Wang, Wenjing Qiu, Guangli Hu, Xiaoyuan Diao, Yunfei Li, Yue Li, Peng Li, Yufang Liu, Yongtong Feng, Chunyi Xue, Yongchang Cao, Zhichao Xu","State Key Laboratory of Biocontrol, School of Life Science, Sun Yat-sen University, Guangzhou, China.",https://pubmed.ncbi.nlm.nih.gov/38624231/,315.0
26,Cadmium exposure induced neuronal ferroptosis and cognitive deficits via the mtROS-ferritinophagy pathway.,"Exposure to environmental cadmium (Cd) is known to cause neuronal death and cognitive decline in humans. Ferroptosis, a novel iron-dependent type of regulated cell death, is involved in various neurological disorders. In the present study, Cd exposure triggered ferroptosis in the mouse hippocampus and in the HT22 murine hippocampal neuronal cell line, as indicated by significant increases in ferroptotic marker expression, intracellular iron levels, and lipid peroxidation. Interestingly, ferroptosis of hippocampal neurons in response to Cd exposure relied on the induction of autophagy since the suppression of autophagy by 3-methyladenine (3-MA) and chloroquine (CQ) substantially ameliorated Cd-induced ferroptosis. Furthermore, nuclear receptor coactivator 4 (NCOA4)-mediated degradation of ferritin was required for the Cd-induced ferroptosis of hippocampal neurons, demonstrating that NCOA4 knockdown decreased intracellular iron levels and lipid peroxidation and increased cell survival, following Cd exposure. Moreover, Cd-induced mitochondrial reactive oxygen species (mtROS) generation was essential for the ferritinophagy-mediated ferroptosis of hippocampal neurons. Importantly, pretreatment with the ferroptosis inhibitor ferrostatin-1 (Fer-1) effectively attenuated Cd-induced hippocampal neuronal death and cognitive impairment in mice. Taken together, these findings indicate that ferroptosis is a novel mechanism underlying Cd-induced neurotoxicity and cognitive impairment and that the mtROS-ferritinophagy axis modulates Cd-induced neuronal ferroptosis.","Environmental Pollution (Barking, Essex : 1987)",eng,2024,May,2024-05-04,2024-05-04,"Dongmei Wang, Yiran Wu, Xiang Zhou, Chen Liang, Yilu Ma, Quan Yuan, Ziyue Wu, Xueqin Hao, Xiaoying Zhu, Xinyu Li, Jian Shi, Junliang Chen, Hua Fan","College of Basic Medicine and Forensic Medicine, Henan University of Science and Technology, Luoyang, China.",https://pubmed.ncbi.nlm.nih.gov/38621452/,5.0
27,The Arabidopsis Mitochondrial Nucleoid-Associated Protein WHIRLY2 Is Required for a Proper Response to Salt Stress.,"In the last years, plant organelles have emerged as central coordinators of responses to internal and external stimuli, which can induce stress. Mitochondria play a fundamental role as stress sensors being part of a complex communication network between the organelles and the nucleus. Among the different environmental stresses, salt stress poses a significant challenge and requires efficient signaling and protective mechanisms. By using the why2 T-DNA insertion mutant and a novel knock-out mutant prepared by CRISPR/Cas9-mediated genome editing, this study revealed that WHIRLY2 is crucial for protecting mitochondrial DNA (mtDNA) integrity during salt stress. Loss-of-function mutants show an enhanced sensitivity to salt stress. The disruption of WHIRLY2 causes the impairment of mtDNA repair that results in the accumulation of aberrant recombination products, coinciding with severe alterations in nucleoid integrity and overall mitochondria morphology besides a compromised redox-dependent response and misregulation of antioxidant enzymes. The results of this study revealed that WHIRLY2-mediated structural features in mitochondria (nucleoid compactness and cristae) are important for an effective response to salt stress.",Plant & Cell Physiology,eng,2024,May,2024-05-15,2024-05-16,"Yuri L Negroni, Irene Doro, Alberto Tamborrino, Irene Luzzi, Stefania Fortunato, Götz Hensel, Solmaz Khosravi, Laura Maretto, Piergiorgio Stevanato, Fiorella Lo Schiavo, Maria Concetta de Pinto, Karin Krupinska, Michela Zottini","Department of Biology, University of Padova, Via U. Bassi 58/b, Padova 35131, Italy.",https://pubmed.ncbi.nlm.nih.gov/38591870/,5.0
28,A mitochondria-targeting heptamethine cyanine-chlorambucil formulated polymeric nanoparticle to potentiate native tumor chemotherapeutic efficacy.,"Chlorambucil (Cbl) is a DNA alkylating drug in the nitrogen mustard family, but the clinical applications of nitrogen mustard antitumor drugs are frequently limited by their poor aqueous solubility, poor cellular uptake, lack of targeting, and severe side effects. Additionally, mitochondria are the energy factories for cells, and tumor cells are more susceptible to mitochondrial dysfunction than some healthy cells, thus making mitochondria an important target for tumor therapy. As a proof-of-concept, direct delivery of Cbl to tumor cells' mitochondria will probably bring about new opportunities for the nitrogen mustard family. Furthermore, IR775 chloride is a small-molecule lipophilic cationic heptamethine cyanine dye with potential advantages of mitochondria targeting, near-infrared (NIR) fluorescence imaging, and preferential internalization towards tumor cells. Here, an amphiphilic drug conjugate was facilely prepared by covalently coupling chlorambucil with IR775 chloride and further self-assembly to form a carrier-free self-delivery theranostic system, in which the two components are both functional units aimed at theranostic improvement. The theranostic IR775-Cbl potentiated typical ""1 + 1 > 2"" tumor inhibition through specific accumulation in mitochondria, which triggered a remarkable decrease in mitochondrial membrane potential and ATP generation. <i>In vivo</i> biodistribution and kinetic monitoring were achieved by real-time NIR fluorescence imaging to observe its transport inside a living body. Current facile mitochondria-targeting modification with clinically applied drugs was promising for endowing traditional drugs with targeting, imaging, and improved potency in disease theranostics.",Biomaterials Science,eng,2024,May,2024-05-14,2024-05-14,"Jing Liu, Jie Zhang, Yongteng Zhang, Wei Wei, Meixiao Zhan, Zhiren Zhang, Bing Liu, Xianglong Hu, Weiling He","College of Biophotonics, South China Normal University, Guangzhou 510631, China.",https://pubmed.ncbi.nlm.nih.gov/38591255/,87.0
29,Multilayered Regulation of Plastids and Mitochondria.,No Abstract,Plant & Cell Physiology,eng,2024,May,2024-05-15,2024-05-15,"Shin-Ichi Arimura, Iris Finkemeier, Kristina Kühn, Mizuki Takenaka","Laboratory of Plant Molecular Genetics, Graduate School of Agricultural and Life Sciences, The University of Tokyo, 1-1-1 Yayoi, Bunkyo-ku, Tokyo, 113-8657 Japan.",https://pubmed.ncbi.nlm.nih.gov/38590035/,5.0
30,An Inner Mitochondrial Membrane Microprotein from the SLC35A4 Upstream ORF Regulates Cellular Metabolism.,"Upstream open reading frames (uORFs) are cis-acting elements that can dynamically regulate the translation of downstream ORFs by suppressing downstream translation under basal conditions and, in some cases, increasing downstream translation under stress conditions. Computational and empirical methods have identified uORFs in the 5'-UTRs of approximately half of all mouse and human transcripts, making uORFs one of the largest regulatory elements known. Because the prevailing dogma was that eukaryotic mRNAs produce a single functional protein, the peptides and small proteins, or microproteins, encoded by uORFs were rarely studied. We hypothesized that a uORF in the SLC35A4 mRNA is producing a functional microprotein (SLC35A4-MP) because of its conserved amino acid sequence. Through a series of biochemical and cellular experiments, we find that the 103-amino acid SLC35A4-MP is a single-pass transmembrane inner mitochondrial membrane (IMM) microprotein. The IMM contains the protein machinery crucial for cellular respiration and ATP generation, and loss of function studies with SLC35A4-MP significantly diminish maximal cellular respiration, indicating a vital role for this microprotein in cellular metabolism. The findings add SLC35A4-MP to the growing list of functional microproteins and, more generally, indicate that uORFs that encode conserved microproteins are an untapped reservoir of functional microproteins.",Journal Of Molecular Biology,eng,2024,May,2024-05-12,2024-05-12,"Andréa L Rocha, Victor Pai, Guy Perkins, Tina Chang, Jiao Ma, Eduardo V De Souza, Qian Chu, Joan M Vaughan, Jolene K Diedrich, Mark H Ellisman, Alan Saghatelian","Clayton Foundation Laboratories for Peptide Biology, Salk Institute for Biological Studies, La Jolla, CA, USA.",https://pubmed.ncbi.nlm.nih.gov/38580077/,285.0
31,PINK1 deficiency alters muscle stem cell fate decision and muscle regenerative capacity.,"Maintenance of mitochondrial function plays a crucial role in the regulation of muscle stem cell (MuSC), but the underlying mechanisms remain ill defined. In this study, we monitored mitophagy in MuSCS under various myogenic states and examined the role of PINK1 in maintaining regenerative capacity. Results indicate that quiescent MuSCs actively express mitophagy genes and exhibit a measurable mitophagy flux and prominent mitochondrial localization to autophagolysosomes, which become rapidly decreased during activation. Genetic disruption of Pink1 in mice reduces PARKIN recruitment to mitochondria and mitophagy in quiescent MuSCs, which is accompanied by premature activation/commitment at the expense of self-renewal and progressive loss of muscle regeneration, but unhindered proliferation and differentiation capacity. Results also show that impaired fate decisions in PINK1-deficient MuSCs can be restored by scavenging excess mitochondrial ROS. These data shed light on the regulation of mitophagy in MuSCs and position PINK1 as an important regulator of their mitochondrial properties and fate decisions.",Stem Cell Reports,eng,2024,May,2024-05-15,2024-05-15,"George Cairns, Madhavee Thumiah-Mootoo, Mah Rukh Abbasi, Melissa Gourlay, Jeremy Racine, Nikita Larionov, Alexandre Prola, Mireille Khacho, Yan Burelle","Interdisciplinary School of Health Sciences, Faculty of Health Sciences, University of Ottawa, Ottawa, ON, Canada.",https://pubmed.ncbi.nlm.nih.gov/38579709/,100.0
32,Nano-sized microplastics exposure induces skin cell senescence via triggering the mitochondrial localization of GSDMD.,"Nano-sized microplastic pollution is distributed worldwide. Nano-sized microplastics can enter the blood through the digestive tract, and then transported to various tissues and organs of the body, resulting in a series of toxicological effects. In addition, nano-sized microplastics can penetrate the skin barrier. However, the toxicological effects of nano-sized microplastics on the skin are still not completely understood. Two skin cell lines were used as in vitro models to investigate the toxicological effects of nano-sized microplastics on skin cells and their potential molecular mechanisms. First, cellular behavioral research results showed that nano-sized microplastics can be internalized into skin cells in a time- and dose-dependent manner. Further experiments using western blotting, indirect immunofluorescence, and ELISA assays demonstrated that nano-sized microplastics cause an increase in skin cell inflammation levels. Additionally, our research showed that nano-sized microplastics caused skin cell senescence damage by evaluating aging-marker molecules such as p16 and p21. Subsequently, we studied the potential molecular mechanism by which nano-sized microplastics cause pathological skin injury and found that they induce mitochondrial oxidative stress, depolarize the mitochondrial membrane potential, and recruit GSDMD to the mitochondria. Subsequently, mtDNA enters the cytoplasm via GSDMD pores, which then activates the AIM2 Inflammasome. Ultimately, it causes a series of biochemical reactions such as inflammation and aging in cells. In an in vivo model, we tested the effect of nano-sized microplastics on skin regeneration and found that they acted as an inhibitor to skin regeneration and aggravated the inflammatory reaction of the skin. Overall, our results provide new evidence of the skin toxicity of nano-sized microplastics. This study provides a theoretical foundation for further research on the potential toxicological effects of nano-sized microplastics on the skin.","Environmental Pollution (Barking, Essex : 1987)",eng,2024,May,2024-05-04,2024-05-12,"Wang Han, Jiayue Cui, Gao Sun, Xiao Miao, Zhang Pufang, Li Nannan","The First Department of Oral and Maxillofacial Surgery & Oral Plastic and Aesthetic Surgery, Hospital of Stomatology, Jilin University, Changchun, China.",https://pubmed.ncbi.nlm.nih.gov/38552769/,5.0
33,LncRNA NR_030777 promotes mitophagy by targeting CDK1-related mitochondrial fission and ATG12 to attenuate paraquat-induced Parkinson's disease.,"With the evidence emerging that abnormal expression of long noncoding RNAs (lncRNAs) are involved in onset of Parkinson's disease (PD), the role of NR_030777 contributing to this disease is of great interest. We recently found that a novel lncRNA ""NR_030777"" demonstrates protective effects on PQ-induced neurodegeneration. However, the underlying molecular mechanisms of NR_030777 in the regulation of mitochondrial fission and mitophagy involved in PQ-induced neuronal damage remain to be explored. NR_030777 brain conditional overexpressing mice as well as in vitro primary neuronal cells from cerebral cortex and Neuro2a cells were adopted. Immunofluorescence, Immunohistochemistry, qRT-PCR and Western blotting were used to evaluate the expression levels of RNA and proteins. RNA immunoprecipitation and RNA pulldown experiment were used to evaluate the interaction of NR_030777 with its target proteins. NR_030777 and mitophagy were increased, and tyrosine hydroxylase (TH) levels recovered after NR_030777 overexpression upon PQ treatment. The overexpression and knockdown of NR_030777 unveiled that NR_030777 positively regulated mitophagy such as the upregulation of LC3B-II:I, ATG12-ATG5, p62 and NBR1. Moreover, the application of mdivi-1, a DRP-1 inhibitor, in combination with NR_030777 genetic modified cells unveiled that NR_030777 promoted DRP1-mediated mitochondrial fission and mitophagy. Furthermore, NR_030777 were directly bound to CDK1 to increase p-DRP1 levels at the Ser616 site, leading to mitochondrial fission and mitophagy. On the other hand, NR_030777 acted directly on ATG12 within the ATG12-ATG5 complex in the 800-1400 nt region to modulate the membrane formation. Accordingly, NR_030777 deficiency in neuron cells compromised cell mitophagy. Finally, the above findings were confirmed using NR_030777-overexpressing mice. NR_030777 exerted a protective effect on PQ-exposed mice by enhancing mitophagy. Our data provide the first scientific evidence for the precise invention of PQ-induced PD. Our findings further propose a breakthrough for understanding the regulatory relationship between NR_030777, CDK1, ATG12 and mitophagy in PQ-induced PD.","Environmental Pollution (Barking, Essex : 1987)",eng,2024,May,2024-05-04,2024-05-04,"Nengzhou Chen, Hong Hu, Jianping Tang, Fuli Zheng, Zhenkun Guo, Xinpei Lin, Michael Aschner, Wenya Shao, Guangxia Yu, Ping Cai, Wei-Chun Chou, Siying Wu, Huangyuan Li","Department of Preventive Medicine, School of Public Health, Fujian Medical University, Fuzhou, 350122, China; Department of Labor Hygiene and Environmental Hygiene, School of Public Health, Guangdong Pharmaceutical University, Guangzhou, 510006, China. Electronic address: chennengzhou@163.com.",https://pubmed.ncbi.nlm.nih.gov/38548152/,5.0
34,NIR-II imaging-guided precise photodynamic therapy for augmenting tumor-starvation therapy by glucose metabolism reprogramming interference.,"Metabolic reprogramming is a mechanism by which cancer cells alter their metabolic patterns to promote cell proliferation and growth, thereby enabling their resistance to external stress. 2-Deoxy-D-glucose (2DG) can eliminate their energy source by inhibiting glucose glycolysis, leading to cancer cell death through starvation. However, a compensatory increase in mitochondrial metabolism inhibits its efficacy. Herein, we propose a synergistic approach that combines photodynamic therapy (PDT) with starvation therapy to address this challenge. To monitor the nanodrugs and determine the optimal triggering time for precise tumor therapy, a multifunctional nano-platform comprising lanthanide-doped nanoparticle (LnNP) cores was constructed and combined with mesoporous silicon shells loaded with 2DG and photosensitizer chlorin e6 (Ce6) in the mesopore channels. Under 980 nm near-infrared light excitation, the downshifted 1550 nm fluorescence signal in the second near-infrared (NIR-II, 1000-1700 nm) window from the LnNPs was used to monitor the accumulation of nanomaterials in tumors. Furthermore, upconverted 650 nm light excited the Ce6 to generate singlet oxygen for PDT, which damaged mitochondrial function and enhanced the efficacy of 2DG by inhibiting hexokinase 2 and lactate dehydrogenase A expressions. As a result, glucose metabolism reprogramming was inhibited and the efficiency of starvation therapy was significantly enhanced. Overall, the proposed NIR-II bioimaging-guided PDT-augmented starvation therapy, which simultaneously inhibited glycolysis and mitochondria, facilitated the effects of a cancer theranostic system.",Science Bulletin,eng,2024,May,2024-05-04,2024-05-04,"Xiawei Wu, Yong Fan, Kairuo Wang, Yunqiu Miao, Yongliang Chang, Jiang Ming, Xinyue Wang, Shengwei Lu, Ruichi Liu, Fan Zhang, Yang Zhang, Huanlong Qin, Jianlin Shi","Nanomedicine and Intestinal Microecology Research Center, Shanghai Tenth People's Hospital, School of Medicine, Tongji University, Shanghai 200072, China.",https://pubmed.ncbi.nlm.nih.gov/38418300/,132.0
35,Genome Editing of Plant Mitochondrial and Chloroplast Genomes.,"Plastids (including chloroplasts) and mitochondria are remnants of endosymbiotic bacteria, yet they maintain their own genomes, which encode vital components for photosynthesis and respiration, respectively. Organellar genomes have distinctive features, such as being present as multicopies, being mostly inherited maternally, having characteristic genomic structures and undergoing frequent homologous recombination. To date, it has proven to be challenging to modify these genomes. For example, while CRISPR/Cas9 is a widely used system for editing nuclear genes, it has not yet been successfully applied to organellar genomes. Recently, however, precise gene-editing technologies have been successfully applied to organellar genomes. Protein-based enzymes, especially transcription activator-like effector nucleases (TALENs) and artificial enzymes utilizing DNA-binding domains of TALENs (TALEs), have been successfully used to modify these genomes by harnessing organellar-targeting signals. This short review introduces and discusses the use of targeted nucleases and base editors in organellar genomes, their effects and their potential applications in plant science and breeding.",Plant & Cell Physiology,eng,2024,May,2024-05-15,2024-05-16,"Shin-Ichi Arimura, Issei Nakazato","Laboratory of Plant Molecular Genetics, Graduate School of Agricultural and Life Science, The University of Tokyo, 1-1-1, Yayoi, Bunkyo-ku, Tokyo, 113-8657 Japan.",https://pubmed.ncbi.nlm.nih.gov/38113380/,5.0
36,Applications of Synthetic Pentatricopeptide Repeat Proteins.,"RNA-binding proteins play integral roles in the regulation of essential processes in cells and as such are attractive targets for engineering to manipulate gene expression at the RNA level. Expression of transcripts in chloroplasts and mitochondria is heavily regulated by pentatricopeptide repeat (PPR) proteins. The diverse roles of PPR proteins and their naturally modular architecture make them ideal candidates for engineering. Synthetic PPR proteins are showing great potential to become valuable tools for controlling the expression of plastid and mitochondrial transcripts. In this review, by 'synthetic', we mean both rationally modified natural PPR proteins and completely novel proteins designed using the principles learned from their natural counterparts. We focus on the many different applications of synthetic PPR proteins, covering both their use in basic research to learn more about protein-RNA interactions and their use to achieve specific outcomes in RNA processing and the control of gene expression. We describe the challenges associated with the design, construction and deployment of synthetic PPR proteins and provide perspectives on how they might be assembled and used in future biotechnology applications.",Plant & Cell Physiology,eng,2024,May,2024-05-15,2024-05-16,"Farley Kwok van der Giezen, Suvi Honkanen, Catherine Colas des Francs-Small, Charles Bond, Ian Small","Australian Research Council Centre of Excellence in Plant Energy Biology, School of Molecular Sciences, The University of Western Australia, 35 Stirling Highway, Perth, WA 6009, Australia.",https://pubmed.ncbi.nlm.nih.gov/38035801/,5.0
37,Adjunct Therapy With All-trans-Retinoic Acid Improves Therapeutic Efficacy Through Immunomodulation While Treating Tuberculosis With Antibiotics in Mice.,"Tuberculosis is the second leading infectious killer after coronavirus disease 2019 (COVID-19). Standard antitubercular drugs exhibit various limitations like toxicity, long treatment regimens, and lack of effect against dormant and drug-resistant organisms. Here, we report that all-trans-retinoic acid (ATRA) improves Mycobacterium tuberculosis clearance in mice during treatment with the antitubercular drug isoniazid. Interestingly, ATRA promoted activities of lysosomes and mitochondria, and production of various inflammatory mediators in macrophages. Furthermore, ATRA upregulated the expression of genes of lipid metabolism pathways in macrophages. We demonstrated that ATRA activated the MEK/ERK pathway in macrophages in vitro and MEK/ERK and p38 MAPK pathways in mice. Finally, ATRA induced both Th1 and Th17 responses in lungs and spleens of M. tuberculosis-infected mice. Together, these data indicate that ATRA provides beneficial adjunct therapeutic value by modulating MEK/ERK and p38 MAPK pathways and thus warrants further testing for human use.",The Journal Of Infectious Diseases,eng,2024,May,2024-05-15,2024-05-15,"Baldeep Singh, Isha Pahuja, Priyanka Yadav, Aishwarya Shaji, Shivam Chaturvedi, Anand Ranganathan, Ved Prakash Dwivedi, Gobardhan Das","Special Centre for Molecular Medicine, Jawaharlal Nehru University, New Delhi, India.",https://pubmed.ncbi.nlm.nih.gov/37863472/,5.0
38,ATAD3 Proteins: Unique Mitochondrial Proteins Essential for Life in Diverse Eukaryotic Lineages.,"ATPase family AAA domain-containing 3 (ATAD3) proteins are unique mitochondrial proteins that arose deep in the eukaryotic lineage but that are surprisingly absent in Fungi and Amoebozoa. These ∼600-amino acid proteins are anchored in the inner mitochondrial membrane and are essential in metazoans and Arabidopsis thaliana. ATAD3s comprise a C-terminal ATPases Associated with a variety of cellular Activities (AAA+) matrix domain and an ATAD3_N domain, which is located primarily in the inner membrane space but potentially extends to the cytosol to interact with the ER. Sequence and structural alignments indicate that ATAD3 proteins are most similar to classic chaperone unfoldases in the AAA+ family, suggesting that they operate in mitochondrial protein quality control. A. thaliana has four ATAD3 genes in two distinct clades that appear first in the seed plants, and both clades are essential for viability. The four genes are generally coordinately expressed, and transcripts are highest in growing apices and imbibed seeds. Plants with disrupted ATAD3 have reduced growth, aberrant mitochondrial morphology, diffuse nucleoids and reduced oxidative phosphorylation complex I. These and other pleiotropic phenotypes are also observed in ATAD3 mutants in metazoans. Here, we discuss the distribution of ATAD3 proteins as they have evolved in the plant kingdom, their unique structure, what we know about their function in plants and the challenges in determining their essential roles in mitochondria.",Plant & Cell Physiology,eng,2024,May,2024-05-15,2024-05-15,"Elizabeth R Waters, Magdalena Bezanilla, Elizabeth Vierling","Department of Biology, San Diego State University, 5500 Campanille Dr., San Diego, CA 92182, USA.",https://pubmed.ncbi.nlm.nih.gov/37859594/,5.0
39,Root Primordium Defective 1 Encodes an Essential PORR Protein Required for the Splicing of Mitochondria-Encoded Group II Introns and for Respiratory Complex I Biogenesis.,"Cellular respiration involves complex organellar metabolic activities that are pivotal for plant growth and development. Mitochondria contain their own genetic system (mitogenome, mtDNA), which encodes key elements of the respiratory machinery. Plant mtDNAs are notably larger than their counterparts in Animalia, with complex genome organization and gene expression characteristics. The maturation of the plant mitochondrial transcripts involves extensive RNA editing, trimming and splicing events. These essential processing steps rely on the activities of numerous nuclear-encoded cofactors, which may also play key regulatory roles in mitochondrial biogenesis and function and hence in plant physiology. Proteins that harbor the plant organelle RNA recognition (PORR) domain are represented in a small gene family in plants. Several PORR members, including WTF1, WTF9 and LEFKOTHEA, are known to act in the splicing of organellar group II introns in angiosperms. The AT4G33495 gene locus encodes an essential PORR protein in Arabidopsis, termed ROOT PRIMORDIUM DEFECTIVE 1 (RPD1). A null mutation of At.RPD1 causes arrest in early embryogenesis, while the missense mutant lines, rpd1.1 and rpd1.2, exhibit a strong impairment in root development and retarded growth phenotypes, especially under high-temperature conditions. Here, we further show that RPD1 functions in the splicing of introns that reside in the coding regions of various complex I (CI) subunits (i.e. nad2, nad4, nad5 and nad7), as well as in the maturation of the ribosomal rps3 pre-RNA in Arabidopsis mitochondria. The altered growth and developmental phenotypes and modified respiration activities are tightly correlated with respiratory chain CI defects in rpd1 mutants.",Plant & Cell Physiology,eng,2024,May,2024-05-15,2024-05-15,"Rana Edris, Laure D Sultan, Corinne Best, Ron Mizrahi, Ofir Weinstein, Stav Chen, Nina A Kamennaya, Nir Keren, Hagit Zer, Hongliang Zhu, Oren Ostersetzer-Biran","Department of Plant and Environmental Sciences, The Hebrew University of Jerusalem, Edmond J. Safra Campus-Givat Ram, Jerusalem 9190401, Israel.",https://pubmed.ncbi.nlm.nih.gov/37702436/,5.0
40,The Gating Domain of MEF28 Is Essential for Editing Two Contiguous Cytidines in nad2 mRNA in Arabidopsis thaliana.,"In plant organelles, each C-to-U RNA-editing site is specifically recognized by pentatricopeptide repeat (PPR) proteins with E1-E2, E1-E2-E+ or E1-E2-DYW domain extensions at the C-terminus. The distance between the PPR domain-binding site and the RNA-editing site is usually fixed at four bases, increasing the specificity of target-site recognition in this system. We here report, in contrast to the general case, on MEF28, which edits two adjacent mitochondrial sites, nad2-89 and nad2-90. When the sDYW domain of MEF28 was replaced with one derived from MEF11 or CRR22, the ability to edit downstream sites was lost, suggesting that the DYW domain of MEF28 provides unique target flexibility for two continuous cytidines. By contrast, substitutions of the entire E1-E2-DYW domains by MEF19E1-E2, SLO2E1-E2-E+ or CRR22E1-E2-E+ target both nad2 sites. In these cases, access to the contiguous sites in the chimeric PPR proteins is likely to be provided by the trans-associated DYW1-like proteins via the replaced E1-E2 or E1-E2-E+ domains. Furthermore, we demonstrated that the gating domain of MEF28 plays an important role in specific target-site recognition of the DYW domain. This finding suggests that the DYW domain and its internal gating domain fine-tune the specificity of the target site, which is valuable information for designing specific synthetic RNA-editing tools based on plant RNA-editing factors.",Plant & Cell Physiology,eng,2024,May,2024-05-15,2024-05-15,"Eszter Bayer-Császár, Anja Jörg, Barbara Härtel, Axel Brennicke, Mizuki Takenaka",NA,https://pubmed.ncbi.nlm.nih.gov/37530742/,5.0
41,Chloroplast Ribosome Biogenesis Factors.,"The formation of chloroplasts can be traced back to an ancient event in which a eukaryotic host cell containing mitochondria ingested a cyanobacterium. Since then, chloroplasts have retained many characteristics of their bacterial ancestor, including their transcription and translation machinery. In this review, recent research on the maturation of rRNA and ribosome assembly in chloroplasts is explored, along with their crucial role in plant survival and their implications for plant acclimation to changing environments. A comparison is made between the ribosome composition and auxiliary factors of ancient and modern chloroplasts, providing insights into the evolution of ribosome assembly factors. Although the chloroplast contains ancient proteins with conserved functions in ribosome assembly, newly evolved factors have also emerged to help plants acclimate to changes in their environment and internal signals. Overall, this review offers a comprehensive analysis of the molecular mechanisms underlying chloroplast ribosome assembly and highlights the importance of this process in plant survival, acclimation and adaptation.",Plant & Cell Physiology,eng,2024,May,2024-05-15,2024-05-15,"Lisa-Marie Schmid, Nikolay Manavski, Wei Chi, Jörg Meurer","Plant Molecular Biology, Faculty of Biology, Ludwig-Maximilians-University Munich, Großhaderner Street 2-4, Planegg-Martinsried 82152, Germany.",https://pubmed.ncbi.nlm.nih.gov/37498958/,5.0
